epoch,train_loss,val_loss,lr
1,1.6768705296412607,0.7009949287740443,0.0009998914383200486
2,1.5617020669396395,0.6990113430886393,0.000999565800898935
3,1.501706553762756,0.7653423172114318,0.0009990232305719946
4,1.492695599059062,0.7282803480992128,0.0009982639653285047
5,1.4521083091847493,0.8920686415758161,0.0009972883382072953
6,1.4152600639501978,0.7740091248149447,0.0009960967771506667
7,1.3723801869554801,0.862047186317887,0.0009946898048166792
8,1.374291592251003,0.7756126649382038,0.0009930680383499
9,1.3500014805366984,0.795536396118009,0.000991232189110701
10,1.3194336743820791,0.9061087425311329,0.0009891830623632338
11,1.2977435873162648,0.8154420138328604,0.0009869215569222143
12,1.245404119011741,0.8213771401624135,0.0009844486647586723
13,1.2248309452751724,0.8977407345120928,0.0009817654705648407
14,1.2123642458567367,0.8149942109453251,0.000978873151278373
15,1.233585542045357,0.8908539474991376,0.0009757729755661009
16,1.1770772042341375,0.8797653794057834,0.000972466303267553
17,1.1554431902018503,0.8638606434985491,0.0009689545847984861
