epoch,train_loss,val_loss,lr
1,0.13709897593377462,0.028676413314278164,0.0009998914383200486
2,0.08105192141157738,0.03277731118119698,0.000999565800898935
3,0.07183895490065138,0.032249748604038564,0.0009990232305719946
4,0.06965992420039491,0.031108239524982446,0.0009982639653285047
5,0.06677064236684242,0.03170628100813935,0.0009972883382072953
6,0.06733388651611151,0.03180700369965418,0.0009960967771506667
7,0.0656528006527207,0.03212891815325817,0.0009946898048166792
8,0.06511038211077437,0.03135652400351275,0.0009930680383499
9,0.0645898873167564,0.03059931960054254,0.000991232189110701
10,0.06356258565099504,0.031110811430423557,0.0009891830623632338
11,0.06191893798728525,0.030674965229942053,0.0009869215569222143
12,0.06310063027418576,0.030632183945666556,0.0009844486647586723
13,0.06167564418547155,0.030953776156250296,0.0009817654705648407
14,0.06187432315191556,0.031205599155684525,0.000978873151278373
15,0.062123622379414864,0.030947996092471588,0.0009757729755661009
16,0.061842821496996145,0.031720065631672005,0.000972466303267553
